PROPERTIES
FILENAME,VERSION,CREATION_DATE,MODIFIED_DATE
"Новый проект","20121024","2014-10-20T12:52:7","2014-10-20T12:52:7"
DOOR_FORMS
UID,FORM_NAME
"1","Прямоугольный проем"
"2","Овальный проем"
"3","Арочный проем"
"4","Левый полуарочный проем"
"5","Правый полуарочный проем"
"6","Трапециевидный проем"
"7","Левый полутрапециевидный проем"
"8","Правый полутрапециевидный проем"
DOOR_STYLES
ID,STYLE_NAME
"1","Нет"
"2","Однопольная распашная (остекленное)"
"3","Однопольная распашная (глухое)"
"4","Двупольная распашная (глухое)"
"5","Двупольная распашная с полотнами разной ширины (глухое)"
"6","Однопольная откатная (остекленное)"
"7","Однопольная качающаяся (глухое)"
"8","Однопольная складчатая"
"9","Однопольная подъемная"
"10","Вращающаяся (остекленное)"
"11","Четырехпольная откатная (остеклённое)"
WINDOW_FORMS
UID,FORM_NAME
"1","Прямоугольный проем"
"2","Овальный проем"
"3","Арочный проем"
"4","Левый полуарочный проем"
"5","Правый полуарочный проем"
"6","Трапециевидный проем"
"7","Левый полутрапециевидный проем"
"8","Правый полутрапециевидный проем"
WINDOW_STYLES
ID,STYLE_NAME
"1","Нет"
"2","Одностворчатое"
"3","Двустворчатое"
"4","Трехстворчатое"
"5","Двустворчатое с фрамугой"
"6","Трехстворчатое с фрамугой"
LEVELS
ID,CAPTION,ELEVATION
"100001","Базовый уровень","0.000"
