ID,LEVEL_ID,NUMBER,NAME,ELEVATION,HEIGHT,VOLUME,AREA,PERIMETER
"348481","115038","1","Центральный зал","0","2.8","891.8","318.5","84.594"
"348944","100001","3","Кабинет врача","0","2.8","134.4","48","32"
"349005","100001","4","Коридор 2 этажа","0","2.8","70","25","28.8284"
"349046","100001","5","Процедурный кабинет","0","2.8","148.4","53","32.8284"
"349105","100001","2","Лестница","0","2.8","65.52","23.4","19.8"
"349968","100001","7","Регистратура","0","2.8","81.2","29","20.8284"
"350056","100001","6","Фойе второго этажа","0","2.8","33.6","12","16"
"350079","100001","9","Помещение","0","2.8","70","25","28.8284"
"350111","100001","8","Ординаторская","0","2.8","134.4","48","32"
"350304","100001","10","Комната отдыха медсестёр","0","2.8","148.4","53","32.8284"
"352899","152529","12","Кабинет врача","0","2.8","134.4","48","32"
"352900","152529","13","Коридор","0","2.8","70","25","28.8284"
"352901","152529","14","Процедурный кабинет","0","2.8","148.4","53","32.8284"
"352902","152529","11","Лестница","0","2.8","65.52","23.4","19.8"
"352903","152529","19","Холл 2 этажа","0","2.8","81.2","29","20.8284"
"352904","152529","15","Фойе 3 этажа","0","2.8","33.6","12","16"
"352905","152529","17","Помещение","0","2.8","70","25","28.8284"
"352906","152529","16","Ординаторская 3 этажа","0","2.8","134.4","48","32"
"352907","152529","18","Комната отдыха медсестёр","0","2.8","148.4","53","32.8284"
"355940","181526","22","Кабинет хирурга","0","2.8","134.4","48","32"
"355941","181526","23","Коридор 3 этажа","0","2.8","70","25","28.8284"
"355942","181526","24","Палата","0","2.8","148.4","53","32.8284"
"355943","181526","20","Лестница","0","2.8","65.52","23.4","19.8"
"355944","181526","26","Рекреационное помещение","0","2.8","81.2","29","20.8284"
"355945","181526","25","Фойе 4 этажа","0","2.8","33.6","12","16"
"355946","181526","27","Помещение","0","2.8","70","25","28.8284"
"355947","181526","28","Кабинет мануальной терапии","0","2.8","134.4","48","32"
"355948","181526","29","Главная операционная","0","2.8","148.4","53","32.8284"
