ID,LEVEL_ID,ELEVATION,HEIGHT,WIDTH,NO_OF_STAIRS,STAIR_WIDTH,STAIR_HEIGHT
"113561","100001","0","1650","1200","10","220","165"
"113693","100001","1650","1650","1200","10","220","165"
"115478","100001","0","1650","1200","10","220","165"
"115479","100001","1650","1650","1200","10","220","165"
"123170","123115","0","1650","1200","10","220","165"
"123171","123115","1650","1650","1200","10","220","165"
"123172","123115","0","1650","1200","10","220","165"
"123173","123115","1650","1650","1200","10","220","165"
"135730","135675","0","1650","1200","10","220","165"
"135731","135675","1650","1650","1200","10","220","165"
"135732","135675","0","1650","1200","10","220","165"
"135733","135675","1650","1650","1200","10","220","165"
"161934","161782","0","1650","1200","10","220","165"
"161935","161782","1650","1650","1200","10","220","165"
"161936","161782","0","1650","1200","10","220","165"
"161937","161782","1650","1650","1200","10","220","165"
"162372","162068","0","1650","1200","10","220","165"
"162373","162068","1650","1650","1200","10","220","165"
"162374","162068","0","1650","1200","10","220","165"
"162375","162068","1650","1650","1200","10","220","165"
"162376","162069","0","1650","1200","10","220","165"
"162377","162069","1650","1650","1200","10","220","165"
"162378","162069","0","1650","1200","10","220","165"
"162379","162069","1650","1650","1200","10","220","165"
"163255","162647","0","1650","1200","10","220","165"
"163256","162647","1650","1650","1200","10","220","165"
"163257","162647","0","1650","1200","10","220","165"
"163258","162647","1650","1650","1200","10","220","165"
"163259","162648","0","1650","1200","10","220","165"
"163260","162648","1650","1650","1200","10","220","165"
"163261","162648","0","1650","1200","10","220","165"
"163262","162648","1650","1650","1200","10","220","165"
"163263","162649","0","1650","1200","10","220","165"
"163264","162649","1650","1650","1200","10","220","165"
"163265","162649","0","1650","1200","10","220","165"
"163266","162649","1650","1650","1200","10","220","165"
"163267","162650","0","1650","1200","10","220","165"
"163268","162650","1650","1650","1200","10","220","165"
"163269","162650","0","1650","1200","10","220","165"
"163270","162650","1650","1650","1200","10","220","165"
"165315","164099","0","1650","1200","10","220","165"
"165316","164099","1650","1650","1200","10","220","165"
"165317","164099","0","1650","1200","10","220","165"
"165318","164099","1650","1650","1200","10","220","165"
"165319","164100","0","1650","1200","10","220","165"
"165320","164100","1650","1650","1200","10","220","165"
"165321","164100","0","1650","1200","10","220","165"
"165322","164100","1650","1650","1200","10","220","165"
"165323","164101","0","1650","1200","10","220","165"
"165324","164101","1650","1650","1200","10","220","165"
"165325","164101","0","1650","1200","10","220","165"
"165326","164101","1650","1650","1200","10","220","165"
"165327","164102","0","1650","1200","10","220","165"
"165328","164102","1650","1650","1200","10","220","165"
"165329","164102","0","1650","1200","10","220","165"
"165330","164102","1650","1650","1200","10","220","165"
"165331","164103","0","1650","1200","10","220","165"
"165332","164103","1650","1650","1200","10","220","165"
"165333","164103","0","1650","1200","10","220","165"
"165334","164103","1650","1650","1200","10","220","165"
"165335","164104","0","1650","1200","10","220","165"
"165336","164104","1650","1650","1200","10","220","165"
"165337","164104","0","1650","1200","10","220","165"
"165338","164104","1650","1650","1200","10","220","165"
"165339","164105","0","1650","1200","10","220","165"
"165340","164105","1650","1650","1200","10","220","165"
"165341","164105","0","1650","1200","10","220","165"
"165342","164105","1650","1650","1200","10","220","165"
"165343","164106","0","1650","1200","10","220","165"
"165344","164106","1650","1650","1200","10","220","165"
"165345","164106","0","1650","1200","10","220","165"
"165346","164106","1650","1650","1200","10","220","165"
"168044","166524","0","1650","1200","10","220","165"
"168045","166524","1650","1650","1200","10","220","165"
"168046","166524","0","1650","1200","10","220","165"
"168047","166524","1650","1650","1200","10","220","165"
"168048","166525","0","1650","1200","10","220","165"
"168049","166525","1650","1650","1200","10","220","165"
"168050","166525","0","1650","1200","10","220","165"
"168051","166525","1650","1650","1200","10","220","165"
"168052","166526","0","1650","1200","10","220","165"
"168053","166526","1650","1650","1200","10","220","165"
"168054","166526","0","1650","1200","10","220","165"
"168055","166526","1650","1650","1200","10","220","165"
"168056","166527","0","1650","1200","10","220","165"
"168057","166527","1650","1650","1200","10","220","165"
"168058","166527","0","1650","1200","10","220","165"
"168059","166527","1650","1650","1200","10","220","165"
"168060","166528","0","1650","1200","10","220","165"
"168061","166528","1650","1650","1200","10","220","165"
"168062","166528","0","1650","1200","10","220","165"
"168063","166528","1650","1650","1200","10","220","165"
"168064","166529","0","1650","1200","10","220","165"
"168065","166529","1650","1650","1200","10","220","165"
"168066","166529","0","1650","1200","10","220","165"
"168067","166529","1650","1650","1200","10","220","165"
"168068","166530","0","1650","1200","10","220","165"
"168069","166530","1650","1650","1200","10","220","165"
"168070","166530","0","1650","1200","10","220","165"
"168071","166530","1650","1650","1200","10","220","165"
"168072","166531","0","1650","1200","10","220","165"
"168073","166531","1650","1650","1200","10","220","165"
"168074","166531","0","1650","1200","10","220","165"
"168075","166531","1650","1650","1200","10","220","165"
"168076","166532","0","1650","1200","10","220","165"
"168077","166532","1650","1650","1200","10","220","165"
"168078","166532","0","1650","1200","10","220","165"
"168079","166532","1650","1650","1200","10","220","165"
