ID,LEVEL_ID,ELEVATION,HEIGHT,THICKNESS,VOLUME
"102542","100001","0","3300","400","16.9167"
"102549","100001","0","3300","400","48.2027"
"102556","100001","0","3300","400","15.6853"
"102562","100001","0","3300","400","13.9732"
"108279","100001","0","3300","200","4.632"
"108494","100001","0","3300","200","3.328"
"108519","100001","0","3300","200","4.23625"
"108775","100001","0","3300","200","4.71075"
"108835","100001","0","3300","400","25.2596"
"108916","100001","0","3300","200","1.895"
"110340","100001","0","3300","200","1.68463"
"110373","100001","0","3300","200","0.185774"
"111886","100001","0","3300","200","4.103"
"111895","100001","0","3300","200","3.518"
"112008","100001","0","3300","200","4.09325"
"112078","100001","0","3300","200","8.39"
"112478","100001","0","3300","200","4.567"
"112541","100001","0","3300","200","3.393"
"112612","100001","0","3300","200","3.711"
"112617","100001","0","3300","100","0.924"
"112742","100001","0","3300","100","0.924"
"113131","100001","0","3300","200","1.848"
"113287","100001","0","3300","100","2.715"
"113500","100001","0","3300","100","0.837"
"113528","100001","0","3300","100","0.3875"
"115910","100001","0","3300","100","0.924"
"117001","100001","0","3300","200","3.224"
"117932","100001","0","3300","200","2.976"
"118384","100001","0","3300","100","2.411"
"118385","100001","0","3300","100","0.3845"
"119012","100001","0","3300","500","5.58"
"120376","100001","0","3300","500","3.255"
"120442","100001","0","3300","100","0.1395"
"120519","100001","0","3300","100","0.3845"
"120520","100001","0","3300","100","0.1395"
"120545","100001","0","3300","100","0.16"
"120698","100001","0","1000","600","7.86"
"123129","123115","0","3300","400","16.1527"
"123130","123115","0","3300","400","46.262"
"123131","123115","0","3300","400","14.8733"
"123132","123115","0","3300","400","13.6732"
"123133","123115","0","3300","200","4.452"
"123134","123115","0","3300","200","3.328"
"123135","123115","0","3300","200","4.36"
"123136","123115","0","3300","200","4.176"
"123137","123115","0","3300","400","26.0759"
"123138","123115","0","3300","200","3.17312"
"123140","123115","0","3300","200","0.174"
"123141","123115","0","3300","200","3.982"
"123142","123115","0","3300","200","3.746"
"123143","123115","0","3300","200","3.985"
"123144","123115","0","3300","200","6.82625"
"123145","123115","0","3300","200","4.567"
"123146","123115","0","3300","200","4.512"
"123147","123115","0","3300","200","4.503"
"123148","123115","0","3300","100","0.924"
"123149","123115","0","3300","100","0.924"
"123150","123115","0","3300","200","1.848"
"123151","123115","0","3300","100","2.947"
"123152","123115","0","3300","100","0.837"
"123153","123115","0","3300","100","0.3875"
"123154","123115","0","3300","100","0.868"
"123155","123115","0","3300","200","2.846"
"123156","123115","0","3300","200","2.976"
"123157","123115","0","3300","100","2.51003"
"123158","123115","0","3300","100","0.3475"
"123159","123115","0","3300","500","5.22"
"123160","123115","0","3300","500","3.105"
"123161","123115","0","3300","100","0.1305"
"123162","123115","0","3300","100","0.3475"
"123163","123115","0","3300","100","0.1305"
"123164","123115","0","3300","100","0.145"
"128702","123115","0","3300","100","1.792"
"128777","123115","0","3300","100","1.24"
"128977","123115","0","3300","100","0.862"
"129030","123115","0","3300","100","0.524"
"135689","135675","0","3300","400","15.3443"
"135690","135675","0","3300","400","45.6703"
"135691","135675","0","3300","400","15.847"
"135693","135675","0","3300","200","4.488"
"135694","135675","0","3300","200","3.391"
"135695","135675","0","3300","200","3.053"
"135701","135675","0","3300","200","4.457"
"135702","135675","0","3300","200","4.488"
"135704","135675","0","3300","200","1.855"
"135705","135675","0","3300","200","4.567"
"135706","135675","0","3300","200","3.315"
"135707","135675","0","3300","200","3.122"
"135708","135675","0","3300","100","0.924"
"135709","135675","0","3300","100","0.924"
"135710","135675","0","3300","200","1.848"
"135711","135675","0","3300","100","2.232"
"135712","135675","0","3300","100","0.837"
"135713","135675","0","3300","100","0.3875"
"135716","135675","0","3300","200","2.976"
"135717","135675","0","3300","100","2.201"
"135719","135675","0","3300","500","5.58"
"135720","135675","0","3300","500","3.255"
"137168","135675","0","3300","400","50.8138"
"137752","135675","0","3300","500","5.58"
"137753","135675","0","3300","500","3.255"
"137810","135675","0","3300","500","5.58"
"137811","135675","0","3300","500","3.255"
"137883","135675","0","3300","500","5.58"
"137884","135675","0","3300","500","3.255"
"137940","135675","0","3300","500","5.58"
"137941","135675","0","3300","500","3.255"
"138029","135675","0","3300","500","5.58"
"138030","135675","0","3300","500","3.255"
