ID,LEVEL_ID,ELEVATION,WINDOW_FORM,WINDOW_STYLE,WIDTH,HEIGHT,TAPERING,AREA,PERIMETER,IMPOST_LENGTH
"105107","100001","550","2","2","2200","2200","0","3.80133","6.9115","0"
"105108","100001","550","2","2","2200","2200","0","3.80133","6.9115","0"
"105109","100001","750","2","2","1800","1800","0","2.54469","5.65487","0"
"105110","100001","750","2","2","1800","1800","0","2.54469","5.65487","0"
"105493","100001","750","2","2","1800","1800","0","2.54469","5.65487","0"
"105582","100001","550","2","2","2200","2200","0","3.80133","6.9115","0"
"105583","100001","550","2","2","2200","2200","0","3.80133","6.9115","0"
"105851","100001","750","2","2","1800","1800","0","2.54469","5.65487","0"
"105852","100001","750","2","2","1800","1800","0","2.54469","5.65487","0"
"107070","100001","900","2","2","1500","1500","0","1.76715","4.71239","0"
"107071","100001","750","2","2","1800","1800","0","2.54469","5.65487","0"
"107072","100001","550","2","2","2200","2200","0","3.80133","6.9115","0"
"107073","100001","550","2","2","2200","2200","0","3.80133","6.9115","0"
"107074","100001","750","2","2","1800","1800","0","2.54469","5.65487","0"
"107075","100001","750","2","2","1800","1800","0","2.54469","5.65487","0"
"107076","100001","550","2","2","2200","2200","0","3.80133","6.9115","0"
"107077","100001","750","2","2","1800","1800","0","2.54469","5.65487","0"
"107078","100001","750","2","2","1800","1800","0","2.54469","5.65487","0"
"107079","100001","750","2","2","1800","1800","0","2.54469","5.65487","0"
"107080","100001","900","2","2","1500","1500","0","1.76715","4.71239","0"
"107081","100001","900","2","2","1500","1500","0","1.76715","4.71239","0"
"107082","100001","750","2","2","1800","1800","0","2.54469","5.65487","0"
"108084","100001","900","2","2","1500","1500","0","1.76715","4.71239","0"
"108085","100001","900","2","2","1500","1500","0","1.76715","4.71239","0"
"108086","100001","750","2","2","1800","1800","0","2.54469","5.65487","0"
"108087","100001","750","2","2","1800","1800","0","2.54469","5.65487","0"
"108088","100001","750","2","2","1800","1800","0","2.54469","5.65487","0"
"110071","100001","750","2","2","1800","1800","0","2.54469","5.65487","0"
"110072","100001","750","2","2","1800","1800","0","2.54469","5.65487","0"
"110073","100001","750","2","2","1800","1800","0","2.54469","5.65487","0"
"110074","100001","750","2","2","1800","1800","0","2.54469","5.65487","0"
"110075","100001","750","2","2","1800","1800","0","2.54469","5.65487","0"
"110076","100001","550","2","2","2200","2200","0","3.80133","6.9115","0"
"110077","100001","550","2","2","2200","2200","0","3.80133","6.9115","0"
"123174","123115","750","2","2","1800","1800","0","2.54469","5.65487","0"
"123175","123115","750","2","2","1800","1800","0","2.54469","5.65487","0"
"123176","123115","550","2","2","2200","2200","0","3.80133","6.9115","0"
"123177","123115","550","2","2","2200","2200","0","3.80133","6.9115","0"
"123178","123115","550","2","2","2200","2200","0","3.80133","6.9115","0"
"123179","123115","750","2","2","1800","1800","0","2.54469","5.65487","0"
"123180","123115","750","2","2","1800","1800","0","2.54469","5.65487","0"
"123181","123115","550","2","2","2200","2200","0","3.80133","6.9115","0"
"123182","123115","750","2","2","1800","1800","0","2.54469","5.65487","0"
"123183","123115","750","2","2","1800","1800","0","2.54469","5.65487","0"
"123184","123115","750","2","2","1800","1800","0","2.54469","5.65487","0"
"123185","123115","550","2","2","2200","2200","0","3.80133","6.9115","0"
"123186","123115","550","2","2","2200","2200","0","3.80133","6.9115","0"
"123187","123115","550","2","2","2200","2200","0","3.80133","6.9115","0"
"123188","123115","750","2","2","1800","1800","0","2.54469","5.65487","0"
"123189","123115","550","2","2","2200","2200","0","3.80133","6.9115","0"
"123190","123115","750","2","2","1800","1800","0","2.54469","5.65487","0"
"123191","123115","750","2","2","1800","1800","0","2.54469","5.65487","0"
"123192","123115","900","2","2","1500","1500","0","1.76715","4.71239","0"
"123193","123115","750","2","2","1800","1800","0","2.54469","5.65487","0"
"123194","123115","750","2","2","1800","1800","0","2.54469","5.65487","0"
"123195","123115","750","2","2","1800","1800","0","2.54469","5.65487","0"
"123196","123115","900","2","2","1500","1500","0","1.76715","4.71239","0"
"123197","123115","750","2","2","1800","1800","0","2.54469","5.65487","0"
"123198","123115","750","2","2","1800","1800","0","2.54469","5.65487","0"
"123199","123115","900","2","2","1500","1500","0","1.76715","4.71239","0"
"123200","123115","750","2","2","1800","1800","0","2.54469","5.65487","0"
"123201","123115","750","2","2","1800","1800","0","2.54469","5.65487","0"
"123202","123115","900","2","2","1500","1500","0","1.76715","4.71239","0"
"123203","123115","900","2","2","1500","1500","0","1.76715","4.71239","0"
"123204","123115","900","2","2","1500","1500","0","1.76715","4.71239","0"
"123205","123115","750","2","2","1800","1800","0","2.54469","5.65487","0"
"123206","123115","750","2","2","1800","1800","0","2.54469","5.65487","0"
"123207","123115","750","2","2","1800","1800","0","2.54469","5.65487","0"
"131206","123115","750","2","2","1800","1800","0","2.54469","5.65487","0"
"131637","123115","750","2","2","1800","1800","0","2.54469","5.65487","0"
"131921","123115","750","2","2","1800","1800","0","2.54469","5.65487","0"
"132122","123115","750","2","2","1800","1800","0","2.54469","5.65487","0"
"132434","123115","750","2","2","1800","1800","0","2.54469","5.65487","0"
"132651","123115","750","2","2","1800","1800","0","2.54469","5.65487","0"
